"Player"|"Pos"|"Age"|"Tm"|"G"|"MP"|"PER"|"TS_perc"|"X3PAr"|"FTr"|"ORB_perc"|"DRB_perc"|"TRB_perc"|"AST_perc"|"STL_perc"|"BLK_perc"|"TOV_perc"|"USG_perc"|"OWS"|"DWS"|"WS"|"WS_48"|"OBPM"|"DBPM"|"BPM"|"VORP"
"Toney Douglas"|"PG"|28|"NOP"|12|177|11.2|0.45|0.353|0.255|1.3|12.8|7.1|20|3.3|1.7|15|17.2|0|0.2|0.2|0.046|-2.1|0.8|-1.3|0
"Chris Douglas-Roberts"|"SG"|28|"LAC"|12|103|3.3|0.387|0.333|0.381|1.1|11.8|6.6|5|0.5|0|0|10.7|0|0.1|0|0.02|-4.4|-1.6|-6.1|-0.1
"Larry Drew"|"PG"|24|"PHI"|12|219|4.5|0.388|0.448|0.052|0.5|7.3|3.7|33.9|1.4|0|29.6|16.8|-0.5|0.1|-0.4|-0.087|-7.3|-4.1|-11.4|-0.5
"Andre Drummond"|"C"|21|"DET"|82|2502|21.4|0.504|0.002|0.38|18.3|30.1|24|3.9|1.5|4.8|9.7|22|3.4|4.3|7.7|0.147|-1.2|1.1|-0.2|1.2
"Jared Dudley"|"SG"|29|"MIL"|72|1717|12.3|0.572|0.454|0.158|3|11.6|7.3|11.5|2.1|0.5|12.1|13.5|2|2.1|4.1|0.116|0.1|0.5|0.6|1.1
"Tim Duncan"|"PF"|38|"SAS"|77|2227|22.6|0.56|0.009|0.38|8.8|26.7|17.9|16.8|1.4|5.1|12.1|22.2|4.9|4.7|9.6|0.207|0.8|4.7|5.5|4.2
"Mike Dunleavy"|"SF"|34|"CHI"|63|1838|11.6|0.573|0.547|0.181|1.7|12.7|7.3|9.7|1.1|0.8|10.4|14.2|2.4|1.7|4.1|0.108|0.6|-0.2|0.4|1.1
"Kevin Durant"|"SF"|26|"OKC"|27|913|27.6|0.633|0.34|0.366|1.9|18.7|10.4|22.2|1.3|2.2|12|29.1|3.8|1|4.8|0.252|6.3|-0.2|6.1|1.9
"Cleanthony Early"|"SF"|23|"NYK"|39|647|8.4|0.447|0.393|0.224|3.8|13.8|8.7|9.1|2|1.5|14.5|19.6|-0.8|0.4|-0.4|-0.03|-3.8|-1.3|-5.2|-0.5
"Wayne Ellington"|"SG"|27|"LAL"|65|1675|11.6|0.504|0.394|0.104|2|12.3|6.9|10.2|1|0.1|7.2|18.5|1.1|0.1|1.2|0.034|-0.4|-2.6|-3|-0.4
"Monta Ellis"|"SG"|29|"DAL"|80|2699|16.5|0.509|0.21|0.224|1.4|6.4|3.9|20.5|2.8|0.8|11.7|27.9|1.4|2.2|3.6|0.065|0.7|-0.7|-0.1|1.3
"James Ennis"|"SF"|24|"MIA"|62|1051|11.5|0.541|0.385|0.381|6|14|10.1|7.2|1.3|1.4|11.9|14.6|1.2|0.8|1.9|0.088|-0.9|-0.6|-1.5|0.1
"Jeremy Evans"|"SF"|27|"UTA"|38|266|20.5|0.636|0.086|0.5|11.3|19.4|15.4|7.9|2.2|3.6|6.6|13.1|0.9|0.4|1.3|0.241|1.5|2|3.5|0.4
"Reggie Evans"|"PF"|34|"SAC"|47|764|11.7|0.49|0.015|0.708|14.9|29|22.2|6.1|1.4|0.5|20|13|0.4|0.8|1.2|0.074|-2.7|0|-2.7|-0.1
"Tyreke Evans"|"SF"|25|"NOP"|79|2690|17.7|0.508|0.195|0.25|3.5|14.1|8.8|32.7|2|1|16|26.1|2.4|2.2|4.6|0.082|1.7|0.1|1.9|2.6
"Dante Exum"|"PG"|19|"UTA"|82|1817|5.7|0.457|0.635|0.077|1.7|6.6|4.2|16.6|1.2|0.6|21.5|13.8|-1.1|1|-0.1|-0.003|-2.6|-1.3|-3.8|-0.8
"Festus Ezeli"|"C"|25|"GSW"|46|504|16.2|0.58|0|0.561|13.3|19.7|16.6|2.5|0.7|6.2|15.6|17.7|0.8|0.9|1.7|0.159|-3|1.2|-1.8|0
"Kenneth Faried"|"PF"|25|"DEN"|75|2086|18.4|0.548|0.011|0.391|12.1|22.9|17.3|7.1|1.5|2.1|12|20.3|3.5|2.1|5.6|0.13|-0.2|0.9|0.8|1.4
"Jordan Farmar"|"PG"|28|"LAC"|36|529|9.9|0.513|0.614|0.07|1.7|7.1|4.5|18|1.9|0.8|16.4|16.6|0.2|0.4|0.6|0.053|-0.7|-1.3|-2|0
"Derrick Favors"|"PF"|23|"UTA"|74|2280|21.8|0.558|0.007|0.362|10|20.7|15.4|9.4|1.4|4.3|10.2|23.8|5|3.3|8.3|0.175|0.8|1.7|2.4|2.6
"Raymond Felton"|"PG"|30|"DAL"|29|281|12.4|0.48|0.321|0.142|0.8|9.4|5.1|21.9|2|1.2|13.8|20.7|0|0.2|0.2|0.039|-1.8|-1.3|-3|-0.1
"Landry Fields"|"SF"|26|"TOR"|26|216|10.8|0.527|0.049|0.146|5.3|8.5|6.9|10.1|2.6|0|15.5|10.8|0.2|0.1|0.3|0.072|-1.5|0.1|-1.5|0
"Evan Fournier"|"SG"|22|"ORL"|58|1661|12.4|0.546|0.391|0.256|1.9|8.7|5.2|11.5|1.2|0.1|11.4|19.7|1.5|0.6|2.1|0.059|0.2|-2.3|-2.1|-0.1
"Randy Foye"|"SG"|31|"DEN"|50|1087|11|0.51|0.654|0.137|0.9|7.8|4.2|17|1.6|0.8|12.3|19.3|0.6|0.4|1|0.045|0.7|-1.8|-1.1|0.2
"Jamaal Franklin"|"SG"|23|"DEN"|3|13|4.9|0.75|1|0|8|8.6|8.3|32.8|0|6|60|16.6|0|0|0|-0.063|-4.8|-0.3|-5.1|0
"Jimmer Fredette"|"PG"|25|"NOP"|50|509|9.8|0.479|0.289|0.271|1.8|7.1|4.5|17.2|1.5|0.3|15.1|19.6|0|0.2|0.2|0.021|-2.6|-2.9|-5.5|-0.4
"Joel Freeland"|"C"|27|"POR"|48|617|12.2|0.522|0|0.166|11|21.9|16.6|3.8|0.7|2.7|12.4|13.4|0.6|0.9|1.6|0.122|-3|1.2|-1.8|0
"Channing Frye"|"PF"|31|"ORL"|75|1870|9.5|0.546|0.71|0.072|1.6|16.4|8.9|7.4|1.3|1.7|13.4|14.1|0.7|1.4|2.1|0.053|-0.9|0|-0.9|0.5
"Danilo Gallinari"|"SF"|26|"DEN"|59|1426|16.8|0.563|0.53|0.336|2.3|14.7|8.3|9.4|1.6|1.1|8|21.5|3|1|3.9|0.132|2.3|-1.1|1.3|1.2
"Langston Galloway"|"PG"|23|"NYK"|45|1457|12.3|0.489|0.344|0.153|2.9|12.5|7.5|17.6|1.9|0.7|10.1|19.2|0.7|0.6|1.3|0.043|0|-1.1|-1.1|0.3
"Francisco Garcia"|"SF"|33|"HOU"|14|200|3.6|0.347|0.714|0.063|1.7|7.7|4.7|11|2.2|1.9|13.4|16.2|-0.4|0.2|-0.2|-0.044|-5|-0.2|-5.3|-0.2
"Marc Gasol"|"C"|30|"MEM"|81|2687|21.7|0.558|0.016|0.41|4.9|21.8|13.4|19.7|1.4|4|12.2|24.6|5.5|4.7|10.2|0.182|1.3|3.5|4.8|4.6
"Pau Gasol"|"PF"|34|"CHI"|78|2681|22.7|0.55|0.023|0.317|9.2|27.6|18.6|14.4|0.5|4|10.7|24.7|6|4.4|10.4|0.187|0.7|2.1|2.8|3.2
"Rudy Gay"|"SF"|28|"SAC"|68|2408|19.7|0.556|0.197|0.352|4.8|13.7|9.4|19|1.5|1.3|12.4|27|4.8|1.3|6.1|0.122|2.8|-0.7|2.1|2.5
"Paul George"|"SF"|24|"IND"|6|91|13|0.492|0.449|0.224|4.9|21.7|13.4|11.8|2.8|0.9|18.2|32.8|-0.2|0.2|0|-0.008|-2.7|-0.7|-3.3|0
"Taj Gibson"|"PF"|29|"CHI"|62|1692|16.1|0.545|0|0.364|10.7|14.6|12.7|6.9|1.1|3.2|11.6|17.6|2.7|2.1|4.8|0.137|-0.6|1.1|0.6|1.1
"Manu Ginobili"|"SG"|37|"SAS"|70|1587|16.2|0.544|0.438|0.346|2|12.8|7.5|28.6|2.2|0.9|18.5|23.9|1.4|2.3|3.7|0.111|1.4|0.3|1.7|1.5
"Rudy Gobert"|"C"|22|"UTA"|82|2158|21.6|0.627|0.005|0.639|14.3|27.2|20.7|8.2|1.6|7|16.9|14|5|4.3|9.3|0.206|0.7|5.1|5.8|4.3
"Drew Gooden"|"PF"|33|"WAS"|51|864|11.9|0.469|0.214|0.159|9.6|19.3|14.5|8.6|1.2|0.8|8.7|17|0.5|1.2|1.7|0.094|-1.8|0.2|-1.6|0.1
"Archie Goodwin"|"SG"|20|"PHO"|41|535|11.2|0.486|0.204|0.413|5.5|9.7|7.6|12.6|1.7|1.3|16.8|23.4|-0.2|0.4|0.2|0.014|-3.3|-1.2|-4.5|-0.3
"Aaron Gordon"|"PF"|19|"ORL"|47|797|11.4|0.517|0.231|0.293|6.4|17.8|12|6.3|1.3|2.2|13.9|15.5|0.3|0.7|1|0.06|-2.8|0|-2.8|-0.2
"Ben Gordon"|"SG"|31|"ORL"|56|790|10.6|0.538|0.329|0.227|0.8|8.3|4.5|10.3|0.9|0.1|14.5|21.8|0.1|0.2|0.3|0.015|-2.5|-3.6|-6.1|-0.8
"Drew Gordon"|"PF"|24|"PHI"|9|71|3.7|0.428|0.158|0.105|10.2|17.7|13.7|4.8|0.7|0|28.7|17.1|-0.2|0.1|-0.1|-0.093|-9|-2.3|-11.3|-0.2
"Eric Gordon"|"SG"|26|"NOP"|61|2018|12.7|0.544|0.454|0.192|1.6|7.4|4.5|17.6|1.3|0.5|14|19.8|2.2|0.7|2.9|0.069|1.4|-2|-0.6|0.7
"Marcin Gortat"|"C"|30|"WAS"|82|2453|18.2|0.587|0.004|0.226|8.5|24.1|16.5|6.5|1|3.6|10.5|17.6|4.4|4.2|8.6|0.168|-0.4|2.3|1.8|2.4
"Danny Granger"|"SF"|31|"MIA"|30|613|8.6|0.527|0.519|0.228|4|11.5|7.8|4.4|1.1|0.8|11.9|15.5|0.2|0.3|0.6|0.046|-1.5|-1.8|-3.2|-0.2
"Jerami Grant"|"SF"|20|"PHI"|65|1377|8.7|0.47|0.443|0.548|3.7|12.3|7.8|9.4|1.5|4|16.3|16.5|-0.9|1.4|0.5|0.019|-4.3|1|-3.3|-0.5
"Danny Green"|"SG"|27|"SAS"|81|2312|16.5|0.596|0.619|0.172|2.7|13.9|8.4|10.3|2.2|2.8|10.5|17.5|4|3.9|7.8|0.163|2.8|2.2|5|4.1
"Draymond Green"|"PF"|24|"GSW"|79|2490|16.4|0.54|0.43|0.261|5.1|22.4|14|16.1|2.4|2.9|13.5|17.2|3.3|5.2|8.5|0.163|1|4|5|4.4
"Erick Green"|"PG"|23|"DEN"|43|410|8.9|0.436|0.29|0.074|1.8|6.6|4.1|15.1|1.5|0|7.7|19.1|-0.1|0.1|0|0|-2.7|-2.7|-5.4|-0.3
"Gerald Green"|"SG"|29|"PHO"|74|1446|15.4|0.532|0.497|0.154|2.5|11.7|7|10.9|1.4|0.6|11.1|28.4|1|1|1.9|0.065|0.8|-3.3|-2.4|-0.2
"Willie Green"|"SG"|33|"ORL"|52|951|7.9|0.477|0.395|0.111|1.6|7.9|4.7|10.9|1.4|0.4|13|17.6|-0.4|0.4|-0.1|-0.003|-2.8|-2.1|-4.9|-0.7
"Blake Griffin"|"PF"|25|"LAC"|67|2356|22.8|0.551|0.022|0.373|6.1|17.9|12.1|26.2|1.4|1.2|10.2|28.4|6.6|2.4|9|0.183|3.1|1|4.1|3.6
"P.J. Hairston"|"SG"|22|"CHO"|45|687|9|0.446|0.606|0.134|3.4|11.5|7.4|5.1|1.6|1.5|7.2|20.4|-0.5|0.8|0.3|0.022|-2.2|-1.3|-3.5|-0.3
"Jordan Hamilton"|"SF"|24|"LAC"|14|122|8.3|0.543|0.6|0|1.9|12.7|7.4|8.2|0.8|0|10.3|14.4|0.1|0.1|0.1|0.059|-1.1|-2.1|-3.2|0
"Tyler Hansbrough"|"PF"|29|"TOR"|74|1058|13.3|0.597|0.042|0.842|11.6|17.3|14.4|2.8|1.5|1.1|8.1|10.5|2.6|0.9|3.4|0.156|0.1|-0.5|-0.5|0.4
"Tim Hardaway"|"SG"|22|"NYK"|70|1681|12.1|0.512|0.494|0.218|0.8|10.2|5.4|13.5|0.6|0.7|9.5|23.8|0.8|0|0.8|0.023|0.1|-4.2|-4.1|-0.9
"James Harden"|"SG"|25|"HOU"|81|2981|26.7|0.605|0.378|0.561|2.8|14.2|8.5|34.6|2.6|1.6|14.9|31.3|12.2|4.2|16.4|0.265|7.4|1|8.4|7.8
"Maurice Harkless"|"SF"|21|"ORL"|45|674|8.4|0.449|0.354|0.259|6.3|11.6|8.9|5.4|2.4|1.1|13.3|13.7|-0.3|0.6|0.3|0.021|-3.1|0.2|-2.9|-0.1
"Devin Harris"|"PG"|31|"DAL"|76|1685|14.8|0.559|0.508|0.309|0.8|8|4.4|20.4|2.3|0.7|12.5|18|2.9|1.3|4.2|0.12|1.9|-0.8|1.2|1.3
"Gary Harris"|"SG"|20|"DEN"|55|719|4.9|0.395|0.475|0.217|3|6.7|4.8|5.9|2.7|0.8|13.8|16.6|-1.2|0.5|-0.7|-0.046|-4.2|-0.1|-4.3|-0.4
"Joe Harris"|"SG"|23|"CLE"|51|493|5.6|0.537|0.7|0.125|1.7|7.8|4.8|7.7|0.7|0.3|17.6|14.1|0|0.2|0.2|0.018|-2|-2.5|-4.5|-0.3
"Tobias Harris"|"SF"|22|"ORL"|68|2369|16.7|0.551|0.252|0.258|3.4|17.3|10.3|8.8|1.5|1.2|9.8|22.5|3|1.8|4.8|0.098|0.4|-0.7|-0.3|1
